X,Y,OBJECTID,PNT,CTGY,Y_WGS_84,X_WGS_84,HGHT,RMRK,SRC,HGHT_SRC,STS
2073943.94627297,-4030230.3351334,38017,15BA3,3,-34126.89,-3764902.81,37.341,,19,18,2
2082498.31707049,-4029552.53123524,38018,15BA5,3,-27030,-3764320,31.641,not surveyed,19,18,5
2057871.54627727,-3972577.50755107,38019,15CB10,3,-47702.11,-3717221.13,152.214,,19,18,2
2057713.79549829,-3964596.31245797,38020,15CB5,3,-47866.61,-3710594.36,200.505,,19,18,2
2047760.83688554,-3969603.005033,38021,15CB8,3,-56148.67,-3714797.2,85.638,,19,18,2
2059749.13197168,-3971337.65574237,38022,15DA6,3,-46141.18,-3716184.24,170.746,,19,18,2
2046999.05307114,-4018311.5105432,38023,15G7,3,-56544.9,-3755159.9,0,,19,18,4
2049930.75168884,-4018463.67154306,38024,15I7,3,-54108.87,-3755271.52,36.252,,19,18,2
2052499.53885437,-4027938.44283675,38025,15K17,3,-51932.14,-3763090.45,145.939,,19,14,2
2053403.21544876,-4025901.26513526,38026,15L15,3,-51191.2,-3761403.19,74.83,,19,18,2
2053446.73114069,-4045720.72842427,38027,15L35,3,-51066.55,-3777765.82,47.193,,19,3,2
2053237.99750611,-3992402.27602464,38028,15L4,3,-51478.06,-3733683.63,8.962,DEMOLISHED,19,18,1
2054267.11542235,-4019502.70471003,38029,15L8,3,-50502.21,-3756110.74,20.548,,19,18,2
2055790.0365,-4021461.11882993,38030,15M10,3,-49228.88,-3757723.09,30.625,,19,18,2
2055961.44777291,-4038676.36835209,38031,15M28,3,-49012.82,-3771942.2,5.448,,19,14,2
