google_address,google_place_id,google_latitude,google_longitude,google_rating,google_primary_type,google_open_now,google_monday_hours,google_tuesday_hours,google_wednesday_hours,google_thursday_hours,google_friday_hours,google_saturday_hours,google_sunday_hours,x,y,feature_x,feature_y,nearest_x,nearest_y
"38 Wale St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJiUPdAIpnzB0Rtd5cyr5piao,-33.9234621,18.4183206,5,real_estate_agency,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,8:00 AM – 5:00 PM,Closed,Closed,2050327.61325684,-4018558.64095019,18.4183206,-33.9234621,18.4182469929722,-33.9235616205874
"37 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJbSXHaHJnzB0R8pstCvoS16E,-33.9232775,18.4188399,4.2,restaurant,1,Closed,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4188399,-33.9232775,18.4189385106499,-33.9231416404673
"60 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJx51RW8DKzR0REV1lDrDOmM4,-33.923052,18.4189079,4.7,art_gallery,1,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 4:00 PM,10:00 AM – 2:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4189079,-33.923052,18.4188758485043,-33.9230961585289
"58 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ6-OcmulnzB0Rkof7YZEhHaQ,-33.9231382,18.4190091,4.5,art_gallery,1,Closed,10:00 AM – 3:00 PM,10:00 AM – 3:00 PM,10:00 AM – 3:00 PM,10:00 AM – 3:00 PM,10:00 AM – 1:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4190091,-33.9231382,18.4189831078413,-33.9231740103566
"35 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ7er_HFZnzB0RhOxM4OhLDMo,-33.92334,18.41891,4.3,,1,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 1:00 PM,Closed,2050390.0336005,-4018489.26879862,18.41891,-33.92334,18.4190141343486,-33.9231965302637
"56 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ-wY-UGRnzB0Rol2JZqOFkkY,-33.92301,18.41912,4.3,art_gallery,1,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,9:30 AM – 5:00 PM,10:00 AM – 1:30 PM,Closed,2050390.0336005,-4018489.26879862,18.41912,-33.92301,18.4189947980079,-33.9231824954066
"33 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ093ET2RnzB0RrI3OolwRLl8,-33.9233817,18.4191575,4.4,restaurant,0,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 10:00 PM,12:00 – 11:00 PM,12:00 – 11:00 PM,12:00 – 9:00 PM,2050390.0336005,-4018489.26879862,18.4191575,-33.9233817,18.41919618965,-33.9233281833649
"25 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJAyx9am5nzB0RGydlMcRYx4Y,-33.9236,18.41939,4.7,art_gallery,1,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 5:00 PM,10:00 AM – 3:00 PM,Closed,2050464.98733155,-4018554.88865016,18.41939,-33.9236,18.4194525290139,-33.9235143523827
"9 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ3yJQ9WRnzB0R8bEd41qkNks,-33.9240863,18.4201467,4.4,grocery_store,0,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,Open 24 hours,Open 24 hours,2050540.29881509,-4018621.60936896,18.4201467,-33.9240863,18.4201746677007,-33.9240428205219
"9 Church St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ3yJQ9WRnzB0R8bEd41qkNks,-33.9240863,18.4201467,4.4,grocery_store,0,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,6:27 PM – 12:00 AM,Open 24 hours,Open 24 hours,2050540.29881509,-4018621.60936896,18.4201467,-33.9240863,18.4201746677007,-33.9240428205219
"1 Church St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJkRQjXyBnzB0RXvWAGr3Pem8,-33.92433,18.42043,3.7,laundry,1,9:00 AM – 3:00 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,9:00 AM – 3:00 PM,9:00 AM – 3:00 PM,2050540.29881509,-4018621.60936896,18.42043,-33.92433,18.4204760435154,-33.9242690530221
"Joslyn Place, 34 Victoria Ave, Hout Bay, Cape Town, 7806, South Africa",ChIJoys25qFnzB0RwygtMWe6EHQ,-33.9215241,18.4202937,4.2,dentist,1,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 7:00 PM,9:00 AM – 4:00 PM,Closed,2050560.85,-4018299.45,18.4202937,-33.9215241,18.4202593045008,-33.921571443733
"52 Hout St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJzaNomwVnzB0R0f4dkwfz0Xc,-33.92156,18.4205,4.9,tailor,1,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 2:00 PM,Closed,2050560.85,-4018299.45,18.4205,-33.92156,18.4204114055116,-33.9216819460077
"29 Shortmarket St &, Long St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ1x3aJGRnzB0RfxM3IkHJbIY,-33.9220118,18.4197666,4.4,coffee_shop,1,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,8:00 AM – 6:00 PM,8:00 AM – 6:00 PM,2050500.27676022,-4018366.79648509,18.4197666,-33.9220118,18.4197184355698,-33.922079543678
"40 Hout St, Central, Cape Town, 8001, South Africa",ChIJZTKSGmRnzB0RgLhpCDOs8U0,-33.9217817,18.4206955,4.6,,1,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 4:00 PM,8:00 AM – 3:00 PM,Closed,Closed,2050560.85,-4018299.45,18.4206955,-33.9217817,18.420644789356,-33.9218515007369
"54 Shortmarket St, Cape Town City Centre, Cape Town, 8051, South Africa",ChIJGT4I9fBnzB0Ru6RtSLozB9I,-33.9221806,18.4199561,,wholesaler,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,2050500.27676022,-4018366.79648509,18.4199561,-33.9221806,18.4199240250076,-33.9222257137477
"36 Burg Street, Corner Shortmarket St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJTcwn9vRnzB0RnTVEX9vVDlw,-33.9222565,18.4202177,,laundry,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,Closed,2050500.27676022,-4018366.79648509,18.4202177,-33.9222565,18.4201310192936,-33.9223751513352
"40 Shortmarket St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJa1KWlBZnzB0RbtiJvK309MI,-33.9226386,18.4205545,3.9,store,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2050574.32593444,-4018431.80665989,18.4205545,-33.9226386,18.4205330639156,-33.9226671320803
"55 Castle St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJpzf4p2ZnzB0R3WFh0QPGQZM,-33.921217,18.4208685,4.4,,1,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,9:00 AM – 12:00 AM,8:30 AM – 5:00 PM,Closed,Closed,2050617.44820567,-4018236.74319117,18.4208685,-33.921217,18.4208891635789,-33.9211894355308
"42 Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJs-TmAmRnzB0RUPV2naXg-1k,-33.921356,18.4210343,,point_of_interest,,,,,,,,,2050617.44820567,-4018236.74319117,18.4210343,-33.921356,18.4210620228601,-33.9213190187042
"Kimberly House, 34 Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJTWCbUypnzB0R29iLnk1ZZAM,-33.922724,18.4206734,5,beauty_salon,1,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 6:00 PM,10:00 AM – 6:00 PM,2050574.32593444,-4018431.80665989,18.4206734,-33.922724,18.4206505838703,-33.9227547838734
"31 Castle St, Cbd, Cape Town, 8001, South Africa",ChIJR7ZECGRnzB0RX-bcBD6m7GY,-33.921923,18.421533,4.5,finance,,,,,,,,,2050690.35,-4018302.3,18.421533,-33.921923,18.4216528301792,-33.921759840003
"26A Shortmarket St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJF_SWgbhnzB0RPOBrUlaS-tw,-33.9228988,18.4209101,3,supermarket,1,6:00 AM – 1:30 AM,6:00 AM – 1:30 AM,6:30 AM – 1:30 AM,6:00 AM – 1:30 AM,6:00 AM – 1:30 AM,6:00 AM – 1:30 AM,6:00 AM – 1:30 AM,2050574.32593444,-4018431.80665989,18.4209101,-33.9228988,18.4208869799578,-33.9229299939168
"27 Castle St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJOVzySxFnzB0R9MpiF7tc7I4,-33.92142,18.42057,4.3,restaurant,1,Closed,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,10:30 AM – 11:00 PM,2050553.45,-4018236.35,18.42057,-33.92142,18.4204378982096,-33.9212744709147
"27 Castle St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJF4wjCGRnzB0RXLbanthdaHQ,-33.9219,18.42164,3,store,1,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,10:00 AM – 4:00 PM,2050690.35,-4018302.3,18.42164,-33.9219,18.42171136497,-33.9218028299184
"Suite 504 5th Floor, JDN House, 26A Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ__-TbWRnzB0RjDeAdjCceR0,-33.9228216,18.4208589,1,consultant,,,,,,,,,2050574.32593444,-4018431.80665989,18.4208589,-33.9228216,18.4208170025635,-33.9228781286663
"Protea House, 15 Shortmarket St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ7xMLWGRnzB0Rk5mKYfO3eRU,-33.92292,18.42073,4.9,hair_salon,1,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,10:00 AM – 5:00 PM,2050574.32593444,-4018431.80665989,18.42073,-33.92292,18.4207808782152,-33.9228513543288
"11 Castle St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJj3e-8mNnzB0R-vTBsypsZjA,-33.9223145,18.4223101,4.5,beauty_salon,1,9:00 AM – 8:30 PM,9:00 AM – 8:30 PM,9:00 AM – 8:30 PM,9:00 AM – 8:30 PM,9:00 AM – 8:30 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,2050763.98335596,-4018367.41280166,18.4223101,-33.9223145,18.4223445991283,-33.92226743971
"23 Castle St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJl4zi4Z5dzB0RXuBHpMTO1fo,-33.92198,18.42179,4.1,internet_cafe,1,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,9:00 AM – 12:00 PM,Closed,2050690.35,-4018302.3,18.42179,-33.92198,18.4218469734406,-33.9219024253318
"26A Shortmarket St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJXeI90y9nzB0RIEvAaM703Rg,-33.9229725,18.4180398,2.7,meal_takeaway,,,,,,,,,2050253.73314961,-4018492.93637947,18.4180398,-33.9229725,18.4178358002038,-33.9232565888807
"St. Georges & Castle Street, 52 St Georges Mall, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJQyMm8WNnzB0R8MtxO1pUaxk,-33.9220042,18.4218372,4.8,health,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 1:00 PM,Closed,2050690.35,-4018302.3,18.4218372,-33.9220042,18.4218891805355,-33.9219334236391
"73 Saint Georges Mall, Corner Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJLeZHdoZdzB0RZZfYdnDUg1Y,-33.9229961,18.4209716,4.9,jewelry_store,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 3:00 PM,Closed,2050646.73802693,-4018496.8322594,18.4209716,-33.9229961,18.4209729453174,-33.9229943856975
"7, 9 Castle St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJszq28j9nzB0R97rl2YCmUv0,-33.9223766,18.4226293,5,restaurant,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,2050763.98335596,-4018367.41280166,18.4226293,-33.9223766,18.4225812149431,-33.9224409869079
"8-9 Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJNde_eWRnzB0RYiW1H4Ftf1g,-33.9232734,18.4213934,4.2,restaurant,1,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,11:00 AM – 10:00 PM,2050646.73802693,-4018496.8322594,18.4213934,-33.9232734,18.4213776749737,-33.9232949759079
"Floor 1 Market Hse Crn. Shortmarket St &, St Georges Mall, Central, Cape Town, 8001, South Africa",ChIJHY8vbmRnzB0Rg-1btY9FnGg,-33.9229467,18.4209114,4.7,wholesaler,1,8:30 AM – 4:00 PM,8:30 AM – 4:00 PM,8:30 AM – 4:00 PM,8:30 AM – 4:00 PM,8:30 AM – 4:00 PM,9:00 AM – 12:30 PM,Closed,2050574.32593444,-4018431.80665989,18.4209114,-33.9229467,18.4209107334458,-33.9229475993252
"26A Shortmarket St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJuXHqKY5nzB0RBKH9cG1Gxu0,-33.9228988,18.4209101,,,1,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:00 AM – 5:30 PM,8:30 AM – 2:30 PM,Closed,2050574.32593444,-4018431.80665989,18.4209101,-33.9228988,18.4208869799578,-33.9229299939168
"7 Shortmarket St, Cape Town City Centre, Capetown, 8000, South Africa",ChIJgybrMm9nzB0R3qvM2hi0I18,-33.9233037,18.4214072,4.8,hair_salon,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2050646.73802693,-4018496.8322594,18.4214072,-33.9233037,18.4214011100146,-33.9233120559138
"Cnr Waterkant &, Long St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJlbcfJWRnzB0RNqh8ojItb_Y,-33.9201094,18.4219351,4,restaurant,1,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 10:00 PM,11:00 AM – 9:00 PM,10:00 AM – 10:00 PM,10:00 AM – 10:00 PM,10:00 AM – 9:00 PM,2050727.61200328,-4018072.79021945,18.4219351,-33.9201094,18.4219808916932,-33.9200430744592
"17A Riebeek St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJjeCBUjlnzB0RDncllQ7DhmA,-33.9198301,18.4226587,5,coffee_shop,,,,,,,,,2050809.13720516,-4018022.32353006,18.4226587,-33.9198301,18.4227553439001,-33.9196988766031
"33 Strand St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJg63gv2ZnzB0R3Bep9hjwicc,-33.9210155,18.421423,3.8,pizza_restaurant,1,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 11:00 PM,9:00 AM – 11:00 PM,11:00 AM – 10:00 PM,2050669.73297344,-4018181.21403251,18.421423,-33.9210155,18.4215158700631,-33.920893678367
"Shop 6, Ovenstone House, 5 Riebeek St, Foreshore, Cape Town, 8001, South Africa",ChIJ422heWdnzB0R8wWRtRS3kYg,-33.9204196,18.4234166,4.8,bar,0,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,12:00 PM – 2:00 AM,2050881.48498879,-4018086.58409411,18.4234166,-33.9204196,18.4235283269113,-33.9202702117856
"Shop.7, Ovenstone House, Riebeek St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ6exh_sPKzR0RDffLxPZb74I,-33.9204955,18.4233787,4.4,locksmith,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,9:00 AM – 12:30 PM,Closed,2050885.60681543,-4018159.25250303,18.4233787,-33.9204955,18.4234999509693,-33.9206283351775
"Strand street, opposite pick n pay, corner Burg St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJz-HK9blnzB0R3u5ofOCkd00,-33.921054,18.4216027,5,,1,8:30 AM – 7:00 PM,8:30 AM – 7:00 PM,8:30 AM – 7:00 PM,8:30 AM – 7:00 PM,8:30 AM – 7:00 PM,8:30 AM – 5:30 PM,10:00 AM – 3:00 PM,2050669.73297344,-4018181.21403251,18.4216027,-33.921054,18.4216480101763,-33.920993936452
"33 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJzcmrq2ZnzB0R9_f_236fjZ8,-33.9209582,18.4213456,4.5,hair_salon,1,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 7:00 PM,8:30 AM – 7:00 PM,Closed,2050669.73297344,-4018181.21403251,18.4213456,-33.9209582,18.4214386442105,-33.920835066576
"Pinnacle Building, 27 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJMz0VwGZnzB0Rml7nzsnddJI,-33.921059,18.4216077,4.1,restaurant,1,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,9:00 AM – 9:00 PM,8:00 AM – 10:00 PM,8:00 AM – 10:00 PM,9:00 AM – 9:00 PM,2050669.73297344,-4018181.21403251,18.4216077,-33.921059,18.4216536006375,-33.9209981537317
"23 Strand St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJO7IY-WNnzB0RlOIFGBy96qQ,-33.9214218,18.4220856,4.4,hotel,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2050741.73430923,-4018246.96723127,18.4220856,-33.9214218,18.4221320408776,-33.9213604411181
"Shop no 5, the box luno building St, 5 Waterkant St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJnVeVGQpnzB0R6WnIJqeqbeE,-33.9207948,18.422545,4.6,,1,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 6:30 PM,8:30 AM – 2:00 PM,2050803.94758041,-4018189.39765902,18.422545,-33.9207948,18.4226698857649,-33.9209402980441
"No 20 Strand St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJNaYG6WNnzB0R3VI0wTqcDHY,-33.9209292,18.4219479,3.3,hair_salon,1,6:00 AM – 9:00 PM,6:00 AM – 9:00 PM,6:00 AM – 9:00 PM,6:00 AM – 9:00 PM,6:00 AM – 9:00 PM,6:00 AM – 9:00 PM,6:00 AM – 9:00 PM,2050730.26293896,-4018214.15742974,18.4219479,-33.9209292,18.4218881586686,-33.9210048862863
"Salga House, 46 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJyTzPvWdnzB0RJqRzbWvC4-E,-33.9210706,18.4221516,3.4,car_rental,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 12:00 PM,2050730.26293896,-4018214.15742974,18.4221516,-33.9210706,18.4220824306371,-33.9211582306584
"7th floor, 44 Strand St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJB9BSFvJnzB0RAkCwf6Xne5E,-33.9211106,18.4222214,5,government_office,1,7:15 AM – 3:45 PM,7:15 AM – 3:45 PM,7:15 AM – 3:45 PM,7:15 AM – 3:45 PM,7:15 AM – 3:45 PM,Closed,Closed,2050730.26293896,-4018214.15742974,18.4222214,-33.9211106,18.4221448894682,-33.9212075311845
"Strand St, Cape Town, 8000, South Africa",ChIJF6JiH_VnzB0RwyRyGC4VY3s,-33.9208987,18.4218913,4.6,meal_takeaway,1,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 5:00 PM,7:00 AM – 1:00 PM,Closed,2050730.26293896,-4018214.15742974,18.4218913,-33.9208987,18.4218384528374,-33.9209656520646
"58 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJfZmmfVhnzB0R8Xs_cf3ZZTQ,-33.9206032,18.4220272,4.9,store,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2050713.8,-4018115.1,18.4220272,-33.9206032,18.4218449092296,-33.9204007675582
"Shop 23, The Felix (formerly the Parkade Mall), 58 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ18OzXP1nzB0R5UGJptp0414,-33.920699,18.421795,5,health,1,8:30 AM – 5:30 PM,8:30 AM – 5:30 PM,8:30 AM – 5:30 PM,Closed,8:30 AM – 5:30 PM,9:00 AM – 1:00 PM,Closed,2050730.26293896,-4018214.15742974,18.421795,-33.920699,18.4216824704116,-33.920849402622
"Shop 24, Ground Floor, 58 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJWwkDp2ZnzB0Rf_poaIAS6gw,-33.9207913,18.4217728,4.7,,1,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 5:00 PM,Closed,9:00 AM – 3:00 PM,2050730.26293896,-4018214.15742974,18.4217728,-33.9207913,18.4217132733188,-33.9208721543273
"60 Strand St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJz3p8tTtnzB0RqPFR5XXtH6I,-33.9206614,18.4216534,3.2,restaurant,1,8:00 AM – 12:00 AM,8:00 AM – 12:00 AM,8:00 AM – 12:00 AM,8:00 AM – 12:00 AM,8:00 AM – 12:00 AM,8:00 AM – 12:00 AM,8:00 AM – 10:00 PM,2050713.8,-4018115.1,18.4216534,-33.9206614,18.4216329538215,-33.9205916337765
"Shop 43 Matador Center, 62 Strand St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJJVvts2ZnzB0R-X8V6aNuxGg,-33.9205283,18.4215364,3.9,book_store,1,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,Closed,Closed,8:30 AM – 5:00 PM,8:30 AM – 1:00 PM,Closed,2050713.8,-4018115.1,18.4215364,-33.9205283,18.4216329538215,-33.9205916337765
"89 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ3X4haABnzB0Rs7KEAm8STJc,-33.9230865,18.4183018,,clothing_store,1,9:00 AM – 8:00 PM,9:00 AM – 8:00 PM,9:00 AM – 8:00 PM,9:00 AM – 8:00 PM,9:00 AM – 8:00 PM,9:00 AM – 8:00 PM,9:00 AM – 8:00 PM,2050320.87797915,-4018490.37277154,18.4183018,-33.9230865,18.4183625697694,-33.9231559276504
"135 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJXY7koPBnzB0RMqhukkwxJ54,-33.9233846,18.4182788,4.3,store,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2050320.87797915,-4018490.37277154,18.4182788,-33.9233846,18.4182018094405,-33.9232966405804
"Antique Arcade, 127 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJAWLCOWFnzB0ROGG0HwdllTk,-33.9233759,18.4183891,3.7,jewelry_store,1,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 4:00 PM,9:00 AM – 2:00 PM,Closed,2050320.87797915,-4018490.37277154,18.4183891,-33.9233759,18.4182685735875,-33.9232382021658
"102 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ980dy2VnzB0R3G5nKEVK5yY,-33.9227549,18.4185652,3.7,buffet_restaurant,0,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,11:00 AM – 11:00 PM,2050316.85,-4018424,18.4185652,-33.9227549,18.4185104651173,-33.9228274180907
"91 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJRVi21mBnzB0R9DniQSfxh6E,-33.922442,18.4195598,4.2,shopping_mall,1,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,2050450.55,-4018421.85,18.4195598,-33.922442,18.419440088643,-33.922609295265
"91 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJRVi21mBnzB0R9DniQSfxh6E,-33.922442,18.4195598,4.2,shopping_mall,1,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,7:00 AM – 9:00 PM,2050450.55,-4018421.85,18.4195598,-33.922442,18.419440088643,-33.922609295265
"121 Long St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJCSo1dd9nzB0R5zgW8z9smqI,-33.9231591,18.4186529,5,store,1,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,Closed,2050390.0336005,-4018489.26879862,18.4186529,-33.9231591,18.4187597489656,-33.9230118902356
