google_address,google_place_id,google_latitude,google_longitude,google_rating,google_primary_type,google_open_now,google_monday_hours,google_tuesday_hours,google_wednesday_hours,google_thursday_hours,google_friday_hours,google_saturday_hours,google_sunday_hours,x,y,feature_x,feature_y,nearest_x,nearest_y
,ChIJDyiqEqJnzB0RH_CXnKL55ro,-33.920699,18.421795,5,dentist,1,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,9:00 AM – 12:00 PM,Closed,2050730.26293896,-4018214.15742974,18.421795,-33.920699,18.4216824704116,-33.920849402622
,ChIJS4HH0mVnzB0RxhNlv6j4MIk,-33.9221679,18.4186416,,dentist,,,,,,,,,2050377.09159756,-4018358.20214128,18.4186416,-33.9221679,18.4187047636641,-33.9220801971119
,ChIJ3_Iot2ZnzB0RsueydtBotTQ,-33.9201263,18.4211195,,pharmacy,,,,,,,,,2050608.6,-4018104.2,18.4211195,-33.9201263,18.4209734102959,-33.9203237403687
,ChIJ3ZtF_2NnzB0RgwOY9zJ3xMA,-33.92201,18.4218,,pharmacy,,,,,,,,,2050690.35,-4018302.3,18.4218,-33.92201,18.421867782301,-33.9219177080574
,ChIJ3ZtF_2NnzB0Ra00XNRwOXzQ,-33.92201,18.4218,,pharmacy,,,,,,,,,2050690.35,-4018302.3,18.4218,-33.92201,18.421867782301,-33.9219177080574
,ChIJ3ZtF_2NnzB0RYaKxsQPhLhk,-33.9214,18.42173,,pharmacy,,,,,,,,,2050678.89611105,-4018241.11601715,18.42173,-33.9214,18.4216489400716,-33.9212588987218
,ChIJyWHp56tnzB0R2i-ALPDGGKE,-33.9216,18.41855,,hospital,1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2050365.8,-4018299.25,18.41855,-33.9216,18.4187118484902,-33.9217797124436
,ChIJg7btYGZnzB0RQPv6sMUpMeo,-33.9203687,18.4197217,4.8,physiotherapist,1,7:30 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,7:00 AM – 6:00 PM,Closed,Closed,2050474.65,-4018107.85,18.4197217,-33.9203687,18.4197474081722,-33.9203342929433
,ChIJTcwn9vRnzB0RnTVEX9vVDlw,-33.9222565,18.4202177,,laundry,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,Closed,2050500.27676022,-4018366.79648509,18.4202177,-33.9222565,18.4201310192936,-33.9223751513352
,ChIJrT-OkGZnzB0R67LidAxKo0o,-33.920648,18.419688,,car_repair,1,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM,Closed,Closed,7:30 AM – 5:00 PM,Closed,Closed,2050481.7,-4018172.75,18.419688,-33.920648,18.4198123583107,-33.9207828077928
,ChIJweJHrn9nzB0RvDDhqUd1Wyc,-33.9230348,18.4203412,3.4,car_repair,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 12:00 PM,Closed,2050524.8,-4018487.45,18.4203412,-33.9230348,18.4202275406062,-33.9231862246733
,ChIJz7a2K2RnzB0R_aE_xjj3j2Q,-33.9218015,18.418982,5,parking,,,,,,,,,2050365.8,-4018299.25,18.418982,-33.9218015,18.4188501805327,-33.9216551310191
,ChIJ5xA7fwBnzB0RjkH1ZK9BlWI,-33.9225485,18.4205815,,parking,,,,,,,,,2050574.32593444,-4018431.80665989,18.4205815,-33.9225485,18.4205087635417,-33.9226492277418
,ChIJhZ7xY1pnzB0R0oal5T5yr0w,-33.9210359,18.4196186,,church,1,7:30 AM – 5:30 PM,7:30 AM – 5:30 PM,8:00 AM – 4:30 PM,Closed,7:30 AM – 5:00 PM,Closed,Closed,2050481.7,-4018172.75,18.4196186,-33.9210359,18.4195815442448,-33.920995730553
,ChIJfRfznmZnzB0RDhKLMK1dspY,-33.9212458,18.4198442,5,church,,,,,,,,,2050488.65,-4018236.45,18.4198442,-33.9212458,18.4198320081742,-33.9212626950847
,ChIJT3LFlmZnzB0R53_mndEpROc,-33.9205471,18.4197224,,church,,,,,,,,,2050474.65,-4018107.85,18.4197224,-33.9205471,18.4198333984654,-33.9203985429396
,ChIJpfGKjHhnzB0RHBsZmWVh_E4,-33.9206112,18.4198899,5,church,1,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,10:00 AM – 9:00 PM,2050481.7,-4018172.75,18.4198899,-33.9206112,18.4199397759045,-33.9206652668377
,ChIJ99c1R-tnzB0RkCxNXfSdsYQ,-33.9230354,18.4203408,,church,,,,,,,,,2050524.8,-4018487.45,18.4203408,-33.9230354,18.4202275728181,-33.9231862488516
,ChIJ1xgU2WBnzB0RkBjAo-LnLx0,-33.9204379,18.4196782,4.5,courier_service,1,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,8:00 AM – 5:00 PM,Closed,Closed,2050474.65,-4018107.85,18.4196782,-33.9204379,18.4197526734018,-33.9203382270034
,ChIJvzUXamRnzB0R3ysrOspwknE,-33.9230348,18.4203411,,courier_service,,,,,,,,,2050524.8,-4018487.45,18.4203411,-33.9230348,18.420227476643,-33.9231861766626
,ChIJLVBIv4ZnzB0RWz4z2tmSepw,-33.9209496,18.4213181,5,storage,1,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,9:00 AM – 10:00 PM,2050669.73297344,-4018181.21403251,18.4213181,-33.9209496,18.4214170027428,-33.9208187134753
"6th Floor, 119-123 Hertzog Blvd, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ78AtIoldzB0RoQqRYp6pssE,-33.9218107,18.4322232,,point_of_interest,,,,,,,,,2051881.04084062,-4018345.81599573,18.4322232,-33.9218107,18.432431741983,-33.9220238206736
"Christiaan Barnard and 9th Floor, Atlantic Centre, Louis Gradner St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJnZcDMYldzB0Rdrby7W6UZSI,-33.9211685,18.4329844,,,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,2051957.09180928,-4018257.04290192,18.4329844,-33.9211685,18.4331443119085,-33.9213353201843
"2nd floor, Atlantic Centre Building, 14 Christiaan Barnard St, Foreshore, Cape Town, 8000, South Africa",ChIJ9wneMIldzB0RWqhrNsDGYAQ,-33.9211155,18.4329434,4,travel_agency,,,,,,,,,2051917.41578409,-4018144.38861787,18.4329434,-33.9211155,18.4331034462301,-33.9208993831238
"14 Christiaan Barnard St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJOfqoxgFdzB0RAffA9P5kfE0,-33.9211315,18.4330674,,travel_agency,1,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,8:30 AM – 5:00 PM,9:00 AM – 3:00 PM,Closed,2051957.09180928,-4018257.04290192,18.4330674,-33.9211315,18.4332060495054,-33.9212761392345
"114, The Rockefeller Hotel, 12 Christiaan Barnard St, Foreshore, Cape Town, 8000, South Africa",ChIJkV54UlaVqy8R7wTW7DFe8EM,-33.920873,18.4334002,5,,1,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,9:00 AM – 5:00 PM,Closed,Closed,2052034.2,-4018167.85,18.4334002,-33.920873,18.4335087290774,-33.9209858422076
